Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Thursday Night Ride - AAVC,06/24/21,Ride,44.1,0,11.02
Dighton,05/10/23,Ride,31.43,1535,11.02
Tustin,09/06/23,Ride,32.46,1387,10.98
West Ann Arbor,09/10/22,GravelRide,26.66,994,10.97
Whitmore Lake,04/13/21,Ride,34.02,1150,10.9
Ann Arbor Loop,09/07/21,Run,10.03,420,10.87
Mercer Island,09/24/24,Ride,30.33,1644,10.87
Snow Lake,11/07/24,Hike,8.35,2065,10.84
Mercer Island,07/31/24,Ride,30.59,1597,10.84
Boon - CCC,05/06/21,Ride,37.58,678,10.83
Maple Pass Loop,09/20/24,Hike,7.33,2266,10.82
Alki + Fauntleroy,06/21/24,Ride,33.59,1203,10.81
Mercer Island,10/12/23,Ride,30.42,1598,10.8
Mercer Island,05/02/24,Ride,29.89,1664,10.8
Saline + Milan,09/27/20,Ride,33.76,1124,10.77
Emery + Olson Park,03/22/21,MountainBikeRide,22.3,871,10.75
Saint Paul,07/13/23,Ride,36.34,794,10.75
Mercer Island,07/08/24,Ride,29.97,1623,10.74
Mercer Island,10/19/23,Ride,29.86,1628,10.72
Red Deer Lake - Day 1,07/09/22,Hike,7.41,1697,10.7
County Line,07/31/20,GravelRide,23.28,1407,10.66
Dighton,05/13/22,Ride,27.57,1837,10.65
Potawatomi,08/17/21,MountainBikeRide,18.62,1554,10.64
DTE,08/23/22,MountainBikeRide,18.89,1492,10.63
NCT Red Bridge - Marilla ,12/27/20,Hike,10.47,1324,10.58
Mercer Island,05/23/24,Ride,29.7,1580,10.58
Copper Creek - Day 2,07/28/24,Hike,8.01,2063,10.57
Meauwataka,05/24/22,Ride,34.11,952,10.52
Meauwataka,09/14/23,Ride,34.19,944,10.52
Meauwataka ,05/09/23,Ride,34.08,958,10.52
Barton Hills,04/22/21,Ride,22.37,2421,10.52
Tustin,05/10/22,GravelRide,22.98,1379,10.5
North Lake Washington,07/29/25,Ride,31.69,1270,10.46
Dighton,05/25/20,Ride,27.61,1738,10.46
Worden,10/13/20,GravelRide,25.93,870,10.46
