Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Olallie & Talapus Lakes,TrailRun,"(47.40134, -121.518228)",4220.472576,15797.4,root='Run',531.2,806.6,2025-07-11 22:43:00+00:00,Tanner,Washington,US,9.82,3.49,13.31,3433.4,0.972,13.69,9.82,1743,07/11/25
Kirkland,Ride,"(47.656015, -122.342424)",158.792656,28835.3,root='Ride',256.0,2.0,2025-07-06 15:54:50+00:00,Seattle,Washington,US,4.48,1.68,6.16,82.68,1.0,6.16,17.92,840,07/06/25
Granite Lake,TrailRun,"(47.492217, -121.639864)",3128.28094,14915.9,root='Run',732.9,265.7,2025-07-05 18:26:18+00:00,Tanner,Washington,US,9.27,4.81,14.079999999999998,2000.0,0.983,14.32,9.27,2405,07/05/25
Burke-Gilman,Ride,"(47.656009, -122.342755)",140.74803599999998,22965.3,root='Ride',88.1,6.6,2025-07-04 02:28:13+00:00,Seattle,Washington,US,3.57,0.58,4.1499999999999995,81.2,1.0,4.15,14.27,289,07/04/25
Earl + Bean + Devil’s Head,Hike,"(47.389263, -120.872364)",7001.31256,18578.0,root='Hike',1505.6,1111.2,2025-06-29 15:26:14+00:00,Cle Elum,Washington,US,13.85,9.88,23.73,5323.49,0.944,25.14,11.54,4940,06/29/25
Chinook Pass + Crystal,Ride,"(46.922065, -121.533926)",5446.850568,91220.3,root='Ride',1962.0,847.2,2025-06-28 15:17:15+00:00,Enumclaw,Washington,US,14.17,12.87,27.04,4113.19,0.959,28.2,56.68,6437,06/28/25
Morning Run,Run,"(47.655187, -122.342609)",124.343836,6927.8,root='Run',44.4,6.6,2025-06-27 14:54:54+00:00,Seattle,Washington,US,4.3,0.29,4.59,73.0,1.0,4.59,4.3,146,06/27/25
Green Lake,Ride,"(47.656042, -122.342281)",230.97113600000003,29091.0,root='Ride',71.0,42.4,2025-06-25 22:50:10+00:00,Seattle,Washington,US,4.52,0.47,4.989999999999999,185.04,1.0,4.99,18.08,233,06/25/25
Chicago Lakefront Path,Run,"(41.935413, -87.649238)",604.002644,17491.9,root='Run',11.1,177.2,2025-06-23 13:39:27+00:00,Chicago,Illinois,US,10.87,0.07,10.94,592.68,0.992,11.03,10.87,36,06/23/25
Morning Run,Run,"(41.934809, -87.650811)",608.923904,4957.6,root='Run',5.5,180.0,2025-06-19 14:14:19+00:00,Chicago,Illinois,US,3.08,0.04,3.12,599.74,0.992,3.15,3.08,18,06/19/25
Chicago Lakefront Path,Run,"(41.934786, -87.651058)",604.658812,18904.3,root='Run',13.2,177.2,2025-06-18 21:15:47+00:00,Chicago,Illinois,US,11.75,0.09,11.84,593.01,0.992,11.94,11.75,43,06/18/25
Morning Run,Run,"(41.934604, -87.651111)",600.721804,7098.0,root='Run',2.6,180.4,2025-06-17 12:56:07+00:00,Chicago,Illinois,US,4.41,0.02,4.43,596.29,0.992,4.47,4.41,9,06/17/25
Evening Run,Run,"(41.934593, -87.650901)",601.377972,5236.8,root='Run',6.4,177.5,2025-06-17 00:12:08+00:00,Chicago,Illinois,US,3.25,0.04,3.29,591.86,0.992,3.32,3.25,21,06/17/25
Lunch Run,Run,"(41.934545, -87.651105)",606.9553999999999,9239.7,root='Run',5.7,179.3,2025-06-15 14:43:39+00:00,Chicago,Illinois,US,5.74,0.04,5.78,597.61,0.992,5.83,5.74,19,06/15/25
Chicago Lakefront Path,Run,"(41.934561, -87.650469)",604.658812,24079.7,root='Run',18.6,176.9,2025-06-14 15:07:00+00:00,Chicago,Illinois,US,14.96,0.12,15.08,592.52,0.992,15.2,14.96,61,06/14/25
Montrose Track,Run,"(41.934585, -87.650887)",602.03414,15497.9,root='Run',6.7,178.6,2025-06-12 11:57:03+00:00,Chicago,Illinois,US,9.63,0.04,9.67,594.0,0.992,9.75,9.63,22,06/12/25
Both Lakes,Ride,"(44.21757, -85.40827)",1436.351752,32423.9,root='Ride',127.0,392.0,2025-06-11 12:50:15+00:00,Cadillac,Michigan,US,5.04,0.83,5.87,1361.22,0.992,5.92,20.15,417,06/11/25
Dighton,Ride,"(44.217537, -85.408232)",1694.881944,57949.6,root='Ride',539.0,360.8,2025-05-31 18:14:22+00:00,Cadillac,Michigan,US,9.0,3.54,12.54,1439.3,0.992,12.64,36.01,1768,05/31/25
Lake Cadillac,Run,"(44.233295, -85.416685)",1316.273008,11603.6,root='Run',13.2,392.7,2025-05-30 20:59:10+00:00,Cadillac,Michigan,US,7.21,0.09,7.3,1302.33,0.992,7.36,7.21,43,05/30/25
Arcadia Dunes,MountainBikeRide,"(44.526039, -86.214415)",1047.244128,42410.4,root='Ride',754.0,196.6,2025-05-29 14:56:12+00:00,Frankfort,Michigan,US,10.54,4.95,15.489999999999998,846.13,0.992,15.61,26.35,2474,05/29/25
Afternoon Run,Run,"(44.217616, -85.408324)",1446.194272,4969.3,root='Run',60.0,405.1,2025-05-28 21:07:10+00:00,Cadillac,Michigan,US,3.09,0.39,3.48,1387.63,0.992,3.51,3.09,197,05/28/25
Both Lakes,Ride,"(44.217435, -85.408187)",1431.102408,38355.0,root='Ride',116.9,382.2,2025-05-28 18:03:50+00:00,Cadillac,Michigan,US,5.96,0.77,6.73,1342.52,0.992,6.78,23.83,384,05/28/25
Empire Bluff,Hike,"(44.799254, -86.058436)",976.706068,2951.7,root='Hike',60.0,268.6,2025-05-27 19:02:21+00:00,Beulah,Michigan,US,1.83,0.39,2.22,928.97,0.992,2.24,1.83,197,05/27/25
Pyramid Point,Hike,"(44.962191, -85.930054)",948.16276,1930.6,root='Hike',68.3,220.4,2025-05-27 18:03:12+00:00,Leland,Michigan,US,1.2,0.45,1.65,835.63,0.992,1.66,1.2,224,05/27/25
