Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Lake Sammamish,Ride,"(47.66394317150116, -122.30638850480318)",483.9239,69336.7,root='Ride',622.7,8.5,2024-07-24 00:30:13+00:00,Seattle,Washington,US,10.77,4.09,14.86,255.91,1.0,14.86,43.08,2043,07/24/24
Granite Mountain,Hike,"(47.39720972254872, -121.48413587361574)",5599.737712,13752.2,root='Hike',1136.6,570.0,2024-07-21 18:48:06+00:00,Tanner,Washington,US,8.55,7.46,16.01,3734.91,0.959,16.69,8.55,3729,07/21/24
Colchuck Lake,Hike,"(47.5306217931211, -120.81743627786636)",5647.96606,16416.6,root='Hike',815.6,1021.8,2024-07-20 22:28:56+00:00,Leavenworth,Washington,US,10.2,5.35,15.549999999999999,4500.16,0.944,16.47,10.2,2676,07/20/24
Evening Run,Run,"(47.66387687064707, -122.30671992525458)",214.23885199999998,3308.6,root='Run',27.8,23.2,2024-07-20 01:21:14+00:00,Seattle,Washington,US,2.06,0.18,2.24,145.18,1.0,2.24,2.06,91,07/20/24
Golden Gardens + Green Lake,Ride,"(47.66387687064707, -122.30671992525458)",339.895024,32924.4,root='Ride',266.1,4.3,2024-07-19 02:54:01+00:00,Seattle,Washington,US,5.11,1.75,6.86,177.0,1.0,6.86,20.46,873,07/19/24
North Lake Washington,Ride,"(47.66394677571952, -122.30656544677913)",461.28610399999997,48773.5,root='Ride',396.3,6.9,2024-07-18 01:18:09+00:00,Seattle,Washington,US,7.58,2.6,10.18,241.96,1.0,10.18,30.31,1300,07/18/24
Evening Run,Run,"(47.67624872736633, -122.33267834410071)",242.125992,6479.9,root='Run',28.3,50.7,2024-07-17 02:43:38+00:00,Seattle,Washington,US,4.03,0.19,4.220000000000001,204.23,1.0,4.22,4.03,93,07/17/24
South Lake Washington + Mercer Island,Ride,"(47.66395381651819, -122.3064823821187)",227.362212,70829.0,root='Ride',516.2,5.9,2024-07-16 01:27:51+00:00,Seattle,Washington,US,11.0,3.39,14.39,123.36,1.0,14.39,44.01,1694,07/16/24
Skyline Trail,Hike,"(46.78599363192916, -121.7363432329148)",7028.215447999999,7736.3,root='Hike',528.2,1651.6,2024-07-13 20:26:58+00:00,Buckley,Washington,US,4.81,3.47,8.28,6223.43,0.927,8.93,4.81,1733,07/13/24
Mount Baker,Ride,"(48.909780057147145, -121.80225424468517)",5068.569716,51926.3,root='Ride',1127.9,558.8,2024-07-13 00:50:01+00:00,Chilliwack,British Columbia,CA,8.07,7.4,15.47,3450.95,0.972,15.92,32.27,3700,07/13/24
Night Run,Run,"(47.663890616968274, -122.30651758611202)",242.125992,10527.1,root='Run',66.0,50.7,2024-07-12 03:10:22+00:00,Seattle,Washington,US,6.54,0.43,6.97,204.23,1.0,6.97,6.54,217,07/12/24
Lake Sammamish + Zoo Climb,Ride,"(47.66392062418163, -122.30634684674442)",1146.325496,75149.5,root='Ride',824.9,8.5,2024-07-11 00:05:21+00:00,Seattle,Washington,US,11.67,5.41,17.08,587.11,0.992,17.22,46.7,2706,07/11/24
Burke-Gilman + Green Lake,Ride,"(47.66387762501836, -122.30678421445191)",240.813656,19393.8,root='Ride',106.3,15.4,2024-07-10 01:00:17+00:00,Seattle,Washington,US,3.01,0.7,3.71,145.67,1.0,3.71,12.05,349,07/10/24
Mercer Island,Ride,"(47.65976479277015, -122.30726558715105)",227.362212,48225.8,root='Ride',494.6,7.3,2024-07-08 01:27:08+00:00,Seattle,Washington,US,7.49,3.25,10.74,125.66,1.0,10.74,29.97,1623,07/08/24
Wallace Lake,Hike,"(47.86625121720135, -121.68027089908719)",1859.252028,19092.1,root='Hike',587.2,69.5,2024-07-06 16:40:21+00:00,Gold Bar,Washington,US,11.86,3.85,15.709999999999999,1043.64,0.992,15.84,11.86,1927,07/06/24
Golden Gardens,Ride,"(47.66393202356994, -122.30636076070368)",312.66405199999997,27197.3,root='Ride',183.6,4.7,2024-07-06 00:49:14+00:00,Seattle,Washington,US,4.22,1.2,5.42,164.04,1.0,5.42,16.9,602,07/06/24
Trap Pass,Hike,"(47.71269366145134, -121.10751156695187)",5951.115676,17929.2,root='Hike',997.9,973.1,2024-07-04 17:20:05+00:00,Leavenworth,Washington,US,11.14,6.55,17.69,4571.85,0.944,18.74,11.14,3274,07/04/24
North Lake Washington,Ride,"(47.66391048207879, -122.30646209791303)",461.28610399999997,43433.7,root='Ride',360.0,6.9,2024-07-04 01:10:28+00:00,Seattle,Washington,US,6.75,2.36,9.11,241.96,1.0,9.11,26.99,1181,07/04/24
Evening Run,Run,"(47.63785474933684, -122.3293234873563)",225.721792,9926.4,root='Run',74.6,7.2,2024-07-03 01:34:30+00:00,Seattle,Washington,US,6.17,0.49,6.66,124.67,1.0,6.66,6.17,245,07/03/24
Hurricane Ridge,Ride,"(48.111838130280375, -123.43652101233602)",5219.488356,61638.7,root='Ride',1571.7,34.5,2024-06-30 23:43:34+00:00,Port Angeles,Washington,US,9.58,10.31,19.89,2666.34,0.972,20.46,38.3,5156,06/30/24
Strawberry Point - Day 2,Hike,"(47.84630614332855, -124.54999599605799)",270.013132,9280.3,root='Hike',231.5,2.6,2024-06-30 16:23:48+00:00,Forks,Washington,US,6.35,1.67,8.02,139.27,1.0,8.02,5.77,760,06/30/24
Strawberry Point - Day 1,Hike,"(47.89022672921419, -124.5987206697464)",269.02888,9723.8,root='Hike',152.3,2.6,2024-06-29 16:40:52+00:00,Forks,Washington,US,6.64,1.1,7.74,138.78,1.0,7.74,6.04,500,06/29/24
Evening Run,Run,"(47.6638235617429, -122.30671523138881)",264.76378800000003,5092.8,root='Run',84.2,25.0,2024-06-28 03:24:17+00:00,Seattle,Washington,US,3.16,0.55,3.71,173.39,1.0,3.71,3.16,276,06/28/24
Morning Run,Run,"(47.66399069689214, -122.30654080398381)",243.766412,10107.0,root='Run',58.4,50.8,2024-06-26 15:41:38+00:00,Seattle,Washington,US,6.28,0.38,6.66,205.22,1.0,6.66,6.28,192,06/26/24
South Lake Washington,Ride,"(47.66057197004557, -122.30725024826825)",220.472448,58359.6,root='Ride',483.6,6.0,2024-06-23 15:55:15+00:00,Seattle,Washington,US,9.07,3.17,12.24,120.08,1.0,12.24,36.26,1587,06/23/24
Johnston’s + Harry’s Ridge,Hike,"(46.28639096394181, -122.27180032990873)",4563.320356,27757.2,root='Hike',983.6,761.7,2024-06-22 18:19:30+00:00,Morton,Washington,US,17.25,6.45,23.7,3531.17,0.959,24.71,17.25,3227,06/22/24
Alki + Fauntleroy,Ride,"(47.66395775601268, -122.3064892552793)",316.272976,54064.3,root='Ride',366.7,3.7,2024-06-21 23:12:35+00:00,Seattle,Washington,US,8.4,2.41,10.81,164.21,1.0,10.81,33.59,1203,06/21/24
Evening Run,Run,"(47.66396529972553, -122.30712083168328)",243.766412,10134.9,root='Run',57.3,50.8,2024-06-20 00:37:47+00:00,Seattle,Washington,US,6.3,0.38,6.68,205.22,1.0,6.68,6.3,188,06/20/24
North Lake Washington,Ride,"(47.66402095556259, -122.30641071684659)",461.28610399999997,43707.6,root='Ride',362.4,6.8,2024-06-19 01:19:52+00:00,Seattle,Washington,US,6.79,2.38,9.17,241.8,1.0,9.17,27.16,1189,06/19/24
Goat Lake,TrailRun,"(48.05333370342851, -121.41300058923662)",3171.916112,16777.3,root='Run',485.3,573.7,2024-06-16 22:43:11+00:00,Darrington,Washington,US,10.42,3.18,13.6,2527.07,0.972,13.99,10.42,1592,06/16/24
Chicago Lakefront Path,Run,"(41.92915624938905, -87.64977604150772)",604.986896,14337.6,root='Run',9.6,177.5,2024-06-14 12:27:42+00:00,Chicago,Illinois,US,8.91,0.06,8.97,593.67,0.992,9.04,8.91,31,06/14/24
Morning Run,Run,"(41.92912045866251, -87.64932526275516)",602.362224,6568.2,root='Run',5.8,177.5,2024-06-13 14:57:34+00:00,Chicago,Illinois,US,4.08,0.04,4.12,592.36,0.992,4.15,4.08,19,06/13/24
Evening Run,Run,"(41.92795, -87.644438)",602.362224,4884.3,root='Run',10.2,177.9,2024-06-07 22:57:43+00:00,Chicago,Illinois,US,3.03,0.07,3.0999999999999996,593.01,0.992,3.12,3.03,33,06/07/24
Morning Run,Run,,0.0,9803.7,root='Run',0.0,0.0,2024-06-04 11:45:07+00:00,,,,6.09,0.0,6.09,0.0,1.0,6.09,6.09,0,06/04/24
Washington D.C.,Run,,0.0,12391.9,root='Run',53.3,0.0,2024-06-02 00:40:00+00:00,,,,7.7,0.35,8.05,0.0,1.0,8.05,7.7,175,06/02/24
Redmond,Ride,"(47.66393529251218, -122.30636914260685)",483.9239,22489.9,root='Ride',227.4,10.3,2024-05-30 18:12:59+00:00,Seattle,Washington,US,3.49,1.49,4.98,258.86,1.0,4.98,13.97,746,05/30/24
North Lake Washington,Ride,"(47.66390352509916, -122.30635061860085)",461.28610399999997,44252.5,root='Ride',365.8,6.8,2024-05-27 23:01:16+00:00,Seattle,Washington,US,6.87,2.4,9.27,241.8,1.0,9.27,27.5,1200,05/27/24
Mailbox Peak,TrailRun,"(47.466487, -121.67377)",4814.960784,12864.6,root='Run',1210.3,257.0,2024-05-26 15:26:23+00:00,Tanner,Washington,US,7.99,7.94,15.93,2829.07,0.972,16.39,7.99,3971,05/26/24
Mercer Island,Ride,"(47.663963958621025, -122.30652580037713)",227.362212,47795.9,root='Ride',481.5,7.4,2024-05-23 20:27:06+00:00,Seattle,Washington,US,7.42,3.16,10.58,125.82,1.0,10.58,29.7,1580,05/23/24
Lake 22,Hike,"(48.07803902775049, -121.74524053931236)",2429.46202,10039.2,root='Hike',427.6,329.4,2024-05-19 16:40:16+00:00,Granite Falls,Washington,US,6.24,2.81,9.05,1755.09,0.983,9.21,6.24,1403,05/19/24
Redmond + North Lake Washington,Ride,"(47.663803, -122.306724)",483.9239,58165.5,root='Ride',438.6,7.9,2024-05-18 15:53:27+00:00,Seattle,Washington,US,9.04,2.88,11.919999999999998,254.92,1.0,11.92,36.14,1439,05/18/24
Golden Gardens,Ride,"(47.66380310989916, -122.30672369711101)",302.493448,27915.3,root='Ride',188.0,4.7,2024-05-16 21:26:03+00:00,Seattle,Washington,US,4.34,1.23,5.57,158.96,1.0,5.57,17.35,617,05/16/24
Commute,Ride,"(47.631955901160836, -122.326397029683)",217.519692,4612.0,root='Ride',74.3,11.1,2024-05-15 21:35:38+00:00,Seattle,Washington,US,0.72,0.49,1.21,126.97,1.0,1.21,2.87,244,05/15/24
Commute,Ride,"(47.66380310989916, -122.30672369711101)",252.62468,4707.4,root='Ride',30.9,11.1,2024-05-15 16:33:58+00:00,Seattle,Washington,US,0.73,0.2,0.9299999999999999,144.52,1.0,0.93,2.93,101,05/15/24
Washington Pass,Ride,"(48.72755027376115, -121.06277282349765)",5539.0421719999995,92946.1,root='Ride',1591.9,537.5,2024-05-12 18:41:36+00:00,Darrington,Washington,US,14.44,10.45,24.89,3651.25,0.959,25.95,57.75,5223,05/12/24
Commute,Ride,"(47.66520372591913, -122.34386860392988)",243.766412,4752.9,root='Ride',48.1,52.8,2024-05-10 23:49:47+00:00,Seattle,Washington,US,0.74,0.32,1.06,208.5,1.0,1.06,2.95,158,05/10/24
Commute,Ride,"(47.66408876515925, -122.30639948509634)",241.14174,5247.1,root='Ride',38.7,53.0,2024-05-10 22:16:10+00:00,Seattle,Washington,US,0.82,0.25,1.0699999999999998,207.51,1.0,1.07,3.26,127,05/10/24
Commute,Ride,"(47.665185537189245, -122.34387380070984)",243.766412,5271.3,root='Ride',31.8,52.8,2024-05-09 22:17:33+00:00,Seattle,Washington,US,0.82,0.21,1.03,208.5,1.0,1.03,3.28,104,05/09/24
Commute,Ride,"(47.66395968385041, -122.3064326774329)",243.766412,5109.7,root='Ride',40.9,53.0,2024-05-09 19:33:12+00:00,Seattle,Washington,US,0.79,0.27,1.06,208.83,1.0,1.06,3.18,134,05/09/24
North Lake Washington,Ride,"(47.663902351632714, -122.30660626664758)",461.28610399999997,43542.6,root='Ride',360.4,6.8,2024-05-09 16:50:57+00:00,Seattle,Washington,US,6.76,2.36,9.12,241.8,1.0,9.12,27.06,1182,05/09/24
Discovery Park,Ride,"(47.6638632081449, -122.30654013343155)",354.002636,26202.7,root='Ride',287.0,4.0,2024-05-07 17:47:13+00:00,Seattle,Washington,US,4.07,1.88,5.95,183.56,1.0,5.95,16.28,942,05/07/24
Commute,Ride,"(47.65049113892019, -122.34172602184117)",214.56693600000003,4613.7,root='Ride',57.6,9.7,2024-05-07 03:43:30+00:00,Seattle,Washington,US,0.72,0.38,1.1,123.2,1.0,1.1,2.87,189,05/07/24
Commute,Ride,"(47.66391769051552, -122.30642178095877)",252.62468,4643.5,root='Ride',18.6,9.7,2024-05-07 00:45:47+00:00,Seattle,Washington,US,0.72,0.12,0.84,142.22,1.0,0.84,2.89,61,05/07/24
Commute,Ride,"(47.66525804065168, -122.34398444183171)",244.75066399999997,5254.9,root='Ride',31.7,52.8,2024-05-02 23:11:27+00:00,Seattle,Washington,US,0.82,0.21,1.03,208.99,1.0,1.03,3.27,104,05/02/24
Commute,Ride,"(47.66488320194185, -122.30645656585693)",241.14174,5457.8,root='Ride',38.2,53.0,2024-05-02 21:02:02+00:00,Seattle,Washington,US,0.85,0.25,1.1,207.51,1.0,1.1,3.39,125,05/02/24
Mercer Island,Ride,"(47.66389874741435, -122.30651549063623)",227.362212,48107.1,root='Ride',507.3,7.4,2024-05-02 18:08:37+00:00,Seattle,Washington,US,7.47,3.33,10.8,125.82,1.0,10.8,29.89,1664,05/02/24
Evening Ride,Run,,0.0,9060.6,root='Run',69.2,0.0,2024-05-02 00:50:00+00:00,,,,5.63,0.45,6.08,0.0,1.0,6.08,5.63,227,05/02/24
Discovery Park,Hike,"(47.66568375751376, -122.41459921002388)",236.54856399999997,4499.6,root='Hike',109.2,3.3,2024-04-26 23:34:58+00:00,Seattle,Washington,US,2.8,0.72,3.5199999999999996,123.69,1.0,3.52,2.8,358,04/26/24
Skyline Trail — MRNP,Hike,"(46.78603780455887, -121.73634063452482)",7342.51992,7001.3,root='Hike',607.2,1653.3,2024-04-20 18:37:31+00:00,Buckley,Washington,US,4.35,3.98,8.33,6383.37,0.927,8.99,4.35,1992,04/20/24
Commute,Ride,"(47.650596499443054, -122.34165142290294)",214.56693600000003,5526.6,root='Ride',56.0,9.2,2024-04-04 20:14:07+00:00,Seattle,Washington,US,0.86,0.37,1.23,122.38,1.0,1.23,3.43,184,04/04/24
Commute,Ride,"(47.6638650521636, -122.3066657781601)",214.56693600000003,5614.2,root='Ride',6.9,9.7,2024-04-04 17:13:51+00:00,Seattle,Washington,US,0.87,0.05,0.92,123.2,1.0,0.92,3.49,23,04/04/24
Golden Gardens,Ride,"(47.66403688117862, -122.30673895217478)",303.80578399999996,29318.4,root='Ride',187.9,4.5,2024-04-02 16:34:41+00:00,Seattle,Washington,US,4.55,1.23,5.779999999999999,159.28,1.0,5.78,18.22,616,04/02/24
North Lake Washington,Ride,"(47.66399245709181, -122.30634366162121)",461.28610399999997,43430.7,root='Ride',360.8,6.8,2024-03-31 20:22:50+00:00,Seattle,Washington,US,6.75,2.37,9.120000000000001,241.8,1.0,9.12,26.99,1184,03/31/24
Marymere Falls — ONP,Hike,"(48.0580931995064, -123.78934046253562)",887.7953040000001,3384.3,root='Hike',91.8,182.4,2024-03-22 21:41:16+00:00,Sooke,British Columbia,CA,2.1,0.6,2.7,743.11,0.992,2.72,2.1,301,03/22/24
Cascade Rock — ONP,Hike,"(48.04126527160406, -123.59030068852007)",1746.3911319999997,10103.3,root='Hike',483.6,81.5,2024-03-22 17:17:35+00:00,Port Angeles,Washington,US,6.28,3.17,9.45,1006.89,0.992,9.53,6.28,1587,03/22/24
Rialto Beach — ONP,Hike,"(47.92105461470783, -124.63801771402359)",73.490816,6283.4,root='Hike',26.4,1.2,2024-03-21 21:54:44+00:00,Forks,Washington,US,3.9,0.17,4.07,38.71,1.0,4.07,3.9,87,03/21/24
Hoh Rainforest — ONP,Hike,"(47.86105594597757, -123.9345156121999)",647.309732,4068.0,root='Hike',34.0,177.7,2024-03-21 18:34:33+00:00,Forks,Washington,US,2.53,0.22,2.75,615.16,0.992,2.77,2.53,112,03/21/24
Morning Run,Run,"(47.663868153467774, -122.30666477233171)",214.56693600000003,8121.6,root='Run',66.4,5.9,2024-03-20 16:35:45+00:00,Seattle,Washington,US,5.05,0.44,5.49,116.96,1.0,5.49,5.05,218,03/20/24
Mount Washington,Hike,"(47.44162534363568, -121.67153561487794)",4354.3308480000005,14191.8,root='Hike',960.8,378.2,2024-03-09 17:46:28+00:00,Tanner,Washington,US,8.82,6.3,15.120000000000001,2797.57,0.972,15.56,8.82,3152,03/09/24
Discovery Park,Hike,"(47.66483995132148, -122.41375842131674)",235.236228,4719.3,root='Hike',107.9,2.3,2024-03-08 23:13:22+00:00,Seattle,Washington,US,2.93,0.71,3.64,121.39,1.0,3.64,2.93,354,03/08/24
Afternoon Run,Run,"(47.66385910101235, -122.30667877011001)",252.29659600000002,8774.7,root='Run',86.6,5.9,2024-02-18 00:40:12+00:00,Seattle,Washington,US,5.45,0.57,6.0200000000000005,135.83,1.0,6.02,5.45,284,02/18/24
Commute,Ride,"(47.63226393610239, -122.32625294476748)",251.96851199999998,4600.1,root='Ride',78.7,11.2,2024-02-14 22:40:23+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.36,1.0,1.23,2.86,258,02/14/24
Commute,Ride,"(47.66385910101235, -122.30667877011001)",252.95276399999997,4766.0,root='Ride',30.6,11.2,2024-02-14 17:13:27+00:00,Seattle,Washington,US,0.74,0.2,0.94,144.85,1.0,0.94,2.96,100,02/14/24
Commute,Ride,"(47.63140378519893, -122.32656190171838)",252.62468,4629.6,root='Ride',79.0,11.0,2024-02-12 22:22:12+00:00,Seattle,Washington,US,0.72,0.52,1.24,144.36,1.0,1.24,2.88,259,02/12/24
Commute,Ride,"(47.663988852873445, -122.30666359886527)",251.640428,4829.3,root='Ride',28.0,11.3,2024-02-12 17:15:01+00:00,Seattle,Washington,US,0.75,0.18,0.9299999999999999,144.36,1.0,0.93,3.0,92,02/12/24
Commute,Ride,"(47.6318852417171, -122.32650113292038)",251.96851199999998,4548.6,root='Ride',78.6,11.2,2024-02-05 22:49:11+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.36,1.0,1.23,2.83,258,02/05/24
Commute,Ride,"(47.663897825405, -122.30682008899748)",252.62468,4727.9,root='Ride',30.6,11.2,2024-02-05 16:43:21+00:00,Seattle,Washington,US,0.73,0.2,0.9299999999999999,144.69,1.0,0.93,2.94,100,02/05/24
Commute,Ride,"(47.66389715485275, -122.30669553391635)",252.95276399999997,4958.1,root='Ride',31.0,11.2,2024-01-10 17:19:10+00:00,Seattle,Washington,US,0.77,0.2,0.97,144.85,1.0,0.97,3.08,102,01/10/24
Arcadia Dunes,Hike,"(44.525827104225755, -86.22285459190607)",947.178508,1905.6,root='Hike',25.3,265.8,2023-12-26 20:07:56+00:00,Frankfort,Michigan,US,1.18,0.17,1.3499999999999999,909.61,0.992,1.36,1.18,83,12/26/23
Both Lakes,Ride,"(44.21718933619559, -85.40859980508685)",1431.758576,32057.0,root='Ride',76.6,392.6,2023-12-25 18:22:01+00:00,Cadillac,Michigan,US,4.98,0.5,5.48,1359.91,0.992,5.52,19.92,251,12/25/23
Pyrite Peak,Hike,"(33.48177029751241, -112.55927078425884)",2258.202172,12045.7,root='Hike',371.9,453.4,2023-12-14 16:53:35+00:00,Buckeye,Arizona,US,7.48,2.44,9.92,1872.87,0.983,10.09,7.48,1220,12/14/23
South Kaibob Trial,Hike,"(36.053146, -112.084103)",7193.2417,11309.7,root='Hike',621.7,1581.5,2023-12-13 18:26:34+00:00,Grand Canyon,Arizona,US,7.03,4.08,11.11,6190.95,0.927,11.98,7.03,2040,12/13/23
Piestewa Peak,Hike,"(33.53941264562309, -112.02330716885626)",2535.4331519999996,3945.2,root='Hike',345.8,431.8,2023-12-12 21:41:21+00:00,Paradise Valley,Arizona,US,2.45,2.27,4.720000000000001,1976.05,0.983,4.8,2.45,1135,12/12/23
Commute,Ride,"(47.63184467330575, -122.32645427808166)",252.95276399999997,4536.1,root='Ride',79.0,11.2,2023-12-11 22:25:10+00:00,Seattle,Washington,US,0.7,0.52,1.22,144.85,1.0,1.22,2.82,259,12/11/23
Commute,Ride,"(47.663775868713856, -122.30674398131669)",251.31234399999997,4919.3,root='Ride',28.4,11.2,2023-12-11 16:56:58+00:00,Seattle,Washington,US,0.76,0.19,0.95,144.03,1.0,0.95,3.06,93,12/11/23
Commute,Ride,"(47.63192589394748, -122.32633860781789)",143.70079199999998,6518.7,root='Ride',63.2,11.2,2023-12-08 22:20:50+00:00,Seattle,Washington,US,1.01,0.41,1.42,90.22,1.0,1.42,4.05,207,12/08/23
Commute,Ride,"(47.66376438550651, -122.30675781145692)",252.95276399999997,4883.4,root='Ride',30.6,11.2,2023-12-08 16:43:43+00:00,Seattle,Washington,US,0.76,0.2,0.96,144.85,1.0,0.96,3.03,100,12/08/23
Commute,Ride,"(47.6318733394146, -122.32633802108467)",253.60893199999998,4566.4,root='Ride',79.0,11.2,2023-12-01 22:54:14+00:00,Seattle,Washington,US,0.71,0.52,1.23,145.18,1.0,1.23,2.84,259,12/01/23
Commute,Ride,"(47.66386806964874, -122.3066520318389)",252.95276399999997,4749.3,root='Ride',31.5,11.3,2023-12-01 17:33:19+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.01,1.0,0.95,2.95,103,12/01/23
Commute,Ride,"(47.63188038021326, -122.32651521451771)",253.28084800000002,4549.1,root='Ride',79.0,11.2,2023-11-29 22:55:05+00:00,Seattle,Washington,US,0.71,0.52,1.23,145.01,1.0,1.23,2.83,259,11/29/23
Commute,Ride,"(47.66386806964874, -122.3066520318389)",252.95276399999997,4918.6,root='Ride',31.3,11.3,2023-11-29 17:26:51+00:00,Seattle,Washington,US,0.76,0.21,0.97,145.01,1.0,0.97,3.06,103,11/29/23
Commute,Ride,"(47.63187350705266, -122.3263674415648)",235.564312,4570.8,root='Ride',75.8,11.2,2023-11-27 23:22:21+00:00,Seattle,Washington,US,0.71,0.5,1.21,136.15,1.0,1.21,2.84,249,11/27/23
Commute,Ride,"(47.66386806964874, -122.3066520318389)",253.60893199999998,4912.7,root='Ride',31.6,11.2,2023-11-27 17:28:25+00:00,Seattle,Washington,US,0.76,0.21,0.97,145.18,1.0,0.97,3.05,104,11/27/23
Mt. Teneriffe + Mt. Si,Hike,"(47.487775180488825, -121.72316101379693)",4777.231124,27829.6,root='Hike',2271.5,205.4,2023-11-26 16:11:44+00:00,Tanner,Washington,US,17.29,14.9,32.19,2725.56,0.972,33.12,17.29,7452,11/26/23
Dirty Harry's Balcony,Hike,"(47.43130898103118, -121.63241995498538)",2563.648376,7478.8,root='Hike',421.5,400.4,2023-11-24 18:05:51+00:00,Tanner,Washington,US,4.65,2.77,7.42,1938.65,0.983,7.55,4.65,1383,11/24/23
Commute,Ride,"(47.66389388591051, -122.3063494451344)",253.93701600000003,4775.0,root='Ride',31.6,11.2,2023-11-22 17:40:37+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.34,1.0,0.95,2.97,104,11/22/23
Commute,Ride,"(47.63185556977987, -122.32631228864193)",252.95276399999997,4594.0,root='Ride',78.7,11.2,2023-11-20 23:02:40+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.85,258,11/20/23
Commute,Ride,"(47.663850132375956, -122.30667633935809)",253.60893199999998,4776.5,root='Ride',31.2,11.2,2023-11-20 17:26:03+00:00,Seattle,Washington,US,0.74,0.2,0.94,145.18,1.0,0.94,2.97,102,11/20/23
Lake Union,Run,"(47.663336992263794, -122.30721169151366)",234.908144,14252.1,root='Run',98.2,6.7,2023-11-19 18:04:09+00:00,Seattle,Washington,US,8.86,0.64,9.5,128.44,1.0,9.5,8.86,322,11/19/23
Commute,Ride,"(47.63188859447837, -122.32654740102589)",252.95276399999997,4583.6,root='Ride',78.8,11.2,2023-11-17 23:06:07+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.85,259,11/17/23
Commute,Ride,"(47.66393965110183, -122.30653887614608)",253.60893199999998,4792.8,root='Ride',31.7,11.2,2023-11-17 17:48:52+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.98,104,11/17/23
Commute,Ride,"(47.63193503022194, -122.32638906687498)",252.95276399999997,4545.6,root='Ride',78.7,11.2,2023-11-15 22:44:39+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.82,258,11/15/23
Commute,Ride,"(47.663849126547575, -122.30667659081519)",253.60893199999998,4782.2,root='Ride',31.5,11.2,2023-11-15 17:34:43+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.97,103,11/15/23
Commute,Ride,"(47.63168499805033, -122.32675175182521)",252.95276399999997,4604.9,root='Ride',78.8,11.2,2023-11-13 22:59:31+00:00,Seattle,Washington,US,0.72,0.52,1.24,144.85,1.0,1.24,2.86,259,11/13/23
Commute,Ride,"(47.663849126547575, -122.30667659081519)",253.93701600000003,4777.3,root='Ride',31.4,11.2,2023-11-13 17:36:56+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.34,1.0,0.95,2.97,103,11/13/23
Burke-Gilman,Ride,"(47.65041838400066, -122.3417329788208)",220.472448,18638.6,root='Ride',126.7,13.8,2023-11-12 21:55:17+00:00,Seattle,Washington,US,2.9,0.83,3.73,132.87,1.0,3.73,11.58,416,11/12/23
Commute,Ride,"(47.663937136530876, -122.3065357748419)",253.60893199999998,4556.8,root='Ride',19.5,9.3,2023-11-12 19:12:00+00:00,Seattle,Washington,US,0.71,0.13,0.84,142.06,1.0,0.84,2.83,64,11/12/23
Commute,Ride,"(47.6320527959615, -122.32638822868466)",252.95276399999997,4571.8,root='Ride',78.8,11.2,2023-11-08 23:56:37+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.84,259,11/08/23
Commute,Ride,"(47.66382993198931, -122.30669897049665)",253.60893199999998,4793.9,root='Ride',31.6,11.2,2023-11-08 18:50:31+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.98,104,11/08/23
Lake Serene,Hike,"(47.809292916208506, -121.57360288314521)",2575.131316,14672.0,root='Hike',801.6,180.3,2023-11-05 17:24:35+00:00,Gold Bar,Washington,US,9.12,5.26,14.379999999999999,1583.33,0.983,14.63,9.12,2630,11/05/23
Rattlesnake Ledge,Hike,"(47.43402102962136, -121.7680695746094)",2062.664108,7729.8,root='Hike',361.4,277.7,2023-11-04 22:02:08+00:00,Riverbend,Washington,US,4.8,2.37,7.17,1486.88,0.992,7.23,4.8,1186,11/04/23
Commute,Ride,"(47.63201876543462, -122.32619578018785)",235.564312,4528.9,root='Ride',75.9,11.2,2023-11-03 23:33:35+00:00,Seattle,Washington,US,0.7,0.5,1.2,136.15,1.0,1.2,2.81,249,11/03/23
Commute,Ride,"(47.631809720769525, -122.3264900688082)",252.95276399999997,4568.7,root='Ride',78.7,11.2,2023-11-01 22:03:17+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.84,258,11/01/23
Commute,Ride,"(47.66389246098697, -122.30653057806194)",253.60893199999998,4612.0,root='Ride',27.7,11.2,2023-11-01 16:29:44+00:00,Seattle,Washington,US,0.72,0.18,0.8999999999999999,145.18,1.0,0.9,2.87,91,11/01/23
